Alias;Razón Social;RUT;Email;Teléfono;Dirección;Alias;Atención
5 magnolias;5MAGNOLIAS VENTA E IMPORTACIÓN CASA Y DECORACIÓN LIMITADA;77207711-4;N/A;N/A;N/A;5 magnolias;N/A
Hotel Ibis;ACCOR CHILE S.A. / HOTELERIA DE LOS ANDES S.A.;96870370-6;N/A;N/A;N/A;Hotel Ibis;N/A
;ADMINISTRADORA DE MARCAS Y RESTAURANTES SPA;76310434-6;N/A;N/A;N/A;;N/A
;AGRICOLA SANTA INES LIMITADA;77863720-0;N/A;N/A;N/A;;N/A
Al son;AL SON DE LAS TRADICIONES RESTAURANTE SPA;76488465-5;N/A;N/A;N/A;Al son;N/A
;ALTO LONQUIMAY SPA;77192619-3;N/A;N/A;N/A;;N/A
;ALTO PATAGONIA SPA;77046863-9;N/A;N/A;N/A;;N/A
;ARRAYAN CAPACITACIONES SPA;76988315-0;N/A;N/A;N/A;;N/A
;ASESORÍAS Y SERVICIOS E&V SPA;77602605-0;N/A;N/A;N/A;;N/A
;ASOC DEPORTIVA REGIONAL ATLETICA DEL BIO BIO;65215360-7;N/A;N/A;N/A;;N/A
Camara chigte;ASOC GREMIAL CAMARA DE COMERCIO DE CHIGUAYANTE;73406800-4;N/A;N/A;N/A;Camara chigte;N/A
Camara yumbel;ASOC GREMIAL CAMARA DE COMERCIO MINORISTA DE LA COMUNA DE YUMBEL;71635300-1;N/A;N/A;N/A;Camara yumbel;N/A
Agepbec;ASOC GREMIAL DE ESTILISTAS, PELUQUEROS, BARBEROS Y CENTROS DE BELLEZA;65202296-0;N/A;N/A;N/A;Agepbec;N/A
;ASOC GREMIAL DEL COMERCIO DETALLISTA DE CONCEPCION;71434000-K;N/A;N/A;N/A;;N/A
;ASOCIACION CHILENA NACIONES UNIDAS REGION DEL BIO BIO;65167782-3;N/A;N/A;N/A;;N/A
Borde costero;ASOCIACION GREMIAL BORDE COSTERO DE PENCO A.G.;65233275-7;N/A;N/A;N/A;Borde costero;N/A
Camara lota;ASOCIACION GREMIAL CAMARA DE COMERCIO DE LOTA;65574120-8;N/A;N/A;N/A;Camara lota;N/A
CAMARA PTO SAAVEDRA;ASOCIACION GREMIAL CAMARA DE COMERCIO, TURISMO Y SERVICIOS DE SAAVEDRA;65041165-K;N/A;N/A;N/A;CAMARA PTO SAAVEDRA;N/A
